county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty,Income,IncomePerCap,IncomePerCapErr
Freestone,TX,5995.0,1461.0,7608.0,8678.0,6966.0,1629.0,463.0,4.0,19646.0,10224.0,9422.0,14.7,67.5,16.1,0.2,0.4,0.0,17.3,45890.0,24060.0,1797.0
Fremont,CO,15066.0,5275.0,21880.0,25058.0,17231.0,7170.0,839.0,2.0,46601.0,27073.0,19528.0,13.0,79.5,4.5,1.0,0.7,0.1,15.8,44712.0,20919.0,1113.0
Fremont,IA,2401.0,959.0,3554.0,3855.0,2711.0,1078.0,224.0,2.0,6985.0,3453.0,3532.0,2.5,95.3,0.5,0.5,0.0,0.0,11.0,54430.0,29813.0,1888.0
Fremont,ID,4091.0,651.0,5714.0,6719.0,5548.0,998.0,504.0,4.0,12889.0,6685.0,6204.0,12.5,85.1,0.2,0.3,0.1,0.2,11.9,51806.0,21611.0,1594.0
Fremont,WY,11167.0,4200.0,16543.0,18111.0,12007.0,5519.0,1505.0,15.0,40354.0,20206.0,20148.0,6.8,70.1,0.5,19.6,0.1,0.1,13.7,55013.0,27220.0,897.0
Fresno,CA,94005.0,98103.0,201710.0,356004.0,160689.0,188224.0,31558.0,443.0,971616.0,484667.0,486949.0,52.4,30.2,4.7,0.4,9.9,0.1,25.4,48730.0,22234.0,215.0
Frio,TX,1232.0,1401.0,2683.0,5264.0,2812.0,2421.0,1020.0,9.0,19110.0,11363.0,7747.0,78.5,16.4,3.6,0.0,0.6,0.0,20.3,37382.0,16833.0,2042.0
Frontier,NE,1106.0,161.0,1310.0,1440.0,1229.0,189.0,45.0,0.0,2624.0,1324.0,1300.0,1.4,96.4,0.0,0.6,0.1,0.0,10.9,52090.0,27900.0,2406.0
Fulton,AR,3470.0,1067.0,4771.0,5098.0,3944.0,1031.0,348.0,10.0,12092.0,5947.0,6145.0,1.3,95.6,0.3,0.9,0.0,0.1,23.0,36051.0,19674.0,1460.0
Fulton,GA,110372.0,281875.0,407173.0,524532.0,137200.0,381057.0,31753.0,628.0,1010420.0,489797.0,520623.0,7.4,39.9,43.6,0.2,6.7,0.0,16.0,61336.0,41041.0,548.0
Fulton,IL,8482.0,6118.0,15609.0,16517.0,9798.0,6371.0,657.0,2.0,35733.0,18673.0,17060.0,2.9,92.0,3.8,0.1,0.2,0.0,15.5,48599.0,24269.0,845.0
Fulton,IN,6010.0,1960.0,8374.0,9110.0,6667.0,2274.0,440.0,11.0,20296.0,9992.0,10304.0,5.0,92.3,1.0,0.5,0.3,0.1,13.3,47108.0,23557.0,1647.0
