cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Unemployment
1388.0,2.0,65563.0,32641.0,32922.0,1.8,89.7,2.5,0.2,2.8,0.1,8.7
486.0,6.0,8313.0,4112.0,4201.0,24.6,56.6,17.8,0.7,0.0,0.0,8.4
5341.0,267.0,272926.0,132171.0,140755.0,18.5,56.4,14.3,0.2,8.4,0.0,10.9
467.0,1.0,13899.0,7340.0,6559.0,3.4,71.8,3.7,11.4,0.7,0.1,6.6
819.0,27.0,18731.0,8860.0,9871.0,2.0,54.0,42.2,0.1,0.4,0.0,10.3
654.0,10.0,25763.0,11744.0,14019.0,2.9,87.1,6.1,0.2,0.2,0.0,7.4
192.0,1.0,5711.0,2814.0,2897.0,0.4,97.1,0.4,0.0,0.5,0.0,2.7
1279.0,19.0,45778.0,22866.0,22912.0,1.6,96.0,0.4,0.2,0.5,0.1,3.4
718.0,9.0,74390.0,37695.0,36695.0,2.5,91.4,4.0,0.2,0.6,0.1,4.1
205.0,0.0,2739.0,1445.0,1294.0,6.7,88.8,1.6,2.3,0.0,0.0,1.4
521.0,10.0,29292.0,14474.0,14818.0,25.9,63.3,8.9,0.0,0.2,0.0,5.4
2173.0,31.0,55036.0,26899.0,28137.0,2.7,75.4,18.9,0.3,0.9,0.0,5.2
647.0,1.0,17535.0,9573.0,7962.0,5.1,89.0,4.2,0.5,0.6,0.0,5.5
1757.0,62.0,41095.0,20693.0,20402.0,1.8,65.3,30.1,1.2,0.1,0.1,7.7
37.0,0.0,3581.0,1732.0,1849.0,10.5,85.7,1.5,1.1,0.0,0.0,4.5
640.0,16.0,11279.0,5599.0,5680.0,8.5,73.6,14.6,0.0,0.9,0.2,3.1
311.0,5.0,7098.0,3678.0,3420.0,62.7,34.6,1.5,0.1,0.9,0.2,2.2
1805.0,24.0,27537.0,14422.0,13115.0,2.4,81.9,13.8,0.4,0.7,0.0,5.8
92.0,6.0,3251.0,1547.0,1704.0,5.4,52.1,41.3,0.2,0.6,0.5,2.5
144.0,3.0,15980.0,8156.0,7824.0,3.9,91.1,0.9,1.0,0.8,0.4,7.3
6966.0,71.0,203360.0,99527.0,103833.0,4.4,83.1,9.5,0.8,0.7,0.0,5.5
2337.0,65.0,45527.0,22893.0,22634.0,2.2,52.9,41.4,0.3,1.5,0.2,9.0
81.0,1.0,8152.0,4077.0,4075.0,1.2,93.0,3.9,0.2,0.4,0.0,4.7
21194.0,675.0,828637.0,392930.0,435707.0,5.1,58.7,27.5,0.2,5.9,0.0,5.5
699.0,34.0,14842.0,7218.0,7624.0,1.9,35.6,61.5,0.1,0.4,0.0,6.5
190.0,8.0,21316.0,10570.0,10746.0,18.0,78.8,1.0,0.2,0.2,0.0,5.7
574.0,8.0,18363.0,9245.0,9118.0,6.4,88.4,2.5,0.2,1.2,0.0,6.6
4.0,0.0,728.0,356.0,372.0,7.8,89.4,0.5,0.0,0.0,0.0,3.2
