county,state,Men,Women
Brown,MN,12550.0,12693.0
Brown,NE,1468.0,1590.0
Brown,OH,21693.0,22106.0
Brown,SD,18909.0,19728.0
Brown,TX,18741.0,19046.0
Brown,WI,128020.0,129984.0
Brule,SD,2626.0,2654.0
Brunswick,NC,59412.0,63174.0
Brunswick,VA,8557.0,7878.0
Bryan,GA,17313.0,17570.0
Bryan,OK,21890.0,23178.0
Buchanan,IA,10497.0,10604.0
Buchanan,MO,44847.0,44578.0
Buchanan,VA,11378.0,11233.0
Buckingham,VA,9465.0,7583.0
Bucks,PA,307319.0,319167.0
Buena Vista,IA,10254.0,10115.0
Buffalo,NE,24367.0,24467.0
Buffalo,SD,984.0,1064.0
Buffalo,WI,6740.0,6503.0
Bullitt,KY,39131.0,39491.0
Bulloch,GA,36288.0,37454.0
Bullock,AL,5616.0,4862.0
Buncombe,NC,121002.0,131266.0
Bureau,IL,16506.0,17113.0
Burke,GA,10752.0,11893.0
Burke,NC,43908.0,44990.0
Burke,ND,1198.0,1055.0
Burleigh,ND,46218.0,46154.0
Burleson,TX,8781.0,8815.0
Burlington,NJ,220995.0,228197.0
Burnet,TX,22234.0,22783.0
Burnett,WI,7798.0,7441.0
Burt,NE,3231.0,3315.0
Butler,AL,9416.0,10710.0
Butler,IA,7402.0,7420.0
Butler,KS,33449.0,32811.0
Butler,KY,6405.0,6330.0
Butler,MO,20735.0,22091.0
Butler,NE,4085.0,4020.0
Butler,OH,184149.0,191553.0
Butler,PA,91847.0,94137.0
Butte,CA,111587.0,113620.0
Butte,ID,1350.0,1263.0
Butte,SD,5078.0,5116.0
Butts,GA,12464.0,11092.0
Cabarrus,NC,95708.0,101008.0
Cabell,WV,47121.0,48979.0
Cache,UT,60247.0,60041.0
Caddo,OK,15383.0,14054.0
Caddo,LA,119235.0,131834.0
Calaveras,CA,22292.0,22765.0
Calcasieu,LA,96906.0,101847.0
Caldwell,KY,5973.0,6774.0
Caldwell,MO,4572.0,4474.0
Caldwell,NC,40361.0,41444.0
Caldwell,TX,20563.0,19981.0
Caldwell,LA,5313.0,4687.0
Calhoun,AL,55593.0,59934.0
Calhoun,AR,2693.0,2501.0
Calhoun,FL,7872.0,6586.0
Calhoun,GA,3915.0,2588.0
Calhoun,IA,5080.0,4734.0
Calhoun,IL,2453.0,2444.0
Calhoun,MI,65652.0,68675.0
Calhoun,MS,6994.0,7623.0
Calhoun,SC,7071.0,7737.0
Calhoun,TX,10976.0,10845.0
Calhoun,WV,3689.0,3761.0
Callahan,TX,6650.0,7010.0
Callaway,MO,22801.0,21992.0
Calloway,KY,18594.0,20022.0
Calumet,WI,24812.0,24925.0
Calvert,MD,45184.0,45640.0
Camas,ID,443.0,443.0
