county,state,cases,deaths,TotalPop
Butler,AL,1024.0,41.0,20126.0
Butler,IA,437.0,3.0,14822.0
Butler,KS,990.0,3.0,66260.0
Butler,KY,439.0,16.0,12735.0
Butler,MO,1313.0,8.0,42826.0
Butler,NE,305.0,2.0,8105.0
Butler,OH,9565.0,134.0,375702.0
Butler,PA,1892.0,28.0,185984.0
Butte,CA,3172.0,53.0,225207.0
Butte,ID,104.0,0.0,2613.0
Butte,SD,420.0,3.0,10194.0
Butts,GA,749.0,44.0,23556.0
Cabarrus,NC,5063.0,93.0,196716.0
Cabell,WV,1548.0,29.0,96100.0
Cache,UT,0.0,0.0,120288.0
Caddo,OK,1187.0,26.0,29437.0
Caddo,LA,10350.0,396.0,251069.0
Calaveras,CA,354.0,21.0,45057.0
Calcasieu,LA,8530.0,230.0,198753.0
Caldwell,KY,306.0,0.0,12747.0
Caldwell,MO,194.0,1.0,9046.0
Caldwell,NC,2685.0,19.0,81805.0
Caldwell,TX,1726.0,37.0,40544.0
Caldwell,LA,376.0,3.0,10000.0
Calhoun,AL,4892.0,65.0,115527.0
Calhoun,AR,59.0,0.0,5194.0
Calhoun,FL,731.0,14.0,14458.0
Calhoun,GA,277.0,10.0,6503.0
Calhoun,IA,348.0,4.0,9814.0
Calhoun,IL,84.0,0.0,4897.0
Calhoun,MI,3275.0,70.0,134327.0
Calhoun,MS,641.0,13.0,14617.0
Calhoun,SC,515.0,18.0,14808.0
Calhoun,TX,935.0,9.0,21821.0
Calhoun,WV,36.0,0.0,7450.0
Callahan,TX,137.0,6.0,13660.0
Callaway,MO,1481.0,7.0,44793.0
Calloway,KY,1075.0,10.0,38616.0
Calumet,WI,2857.0,14.0,49737.0
Calvert,MD,1212.0,29.0,90824.0
Camas,ID,41.0,0.0,886.0
Cambria,PA,1225.0,9.0,135871.0
Camden,GA,1459.0,18.0,52252.0
Camden,MO,1684.0,36.0,44855.0
Camden,NC,142.0,3.0,10336.0
Camden,NJ,11988.0,636.0,510996.0
Cameron,PA,10.0,0.0,4754.0
Cameron,TX,24280.0,1083.0,420201.0
Cameron,LA,240.0,2.0,6806.0
Camp,TX,407.0,13.0,12670.0
Campbell,KY,1420.0,16.0,91804.0
Campbell,SD,82.0,1.0,1443.0
Campbell,TN,1133.0,13.0,39824.0
Campbell,VA,784.0,9.0,55158.0
Campbell,WY,1190.0,3.0,48116.0
Canadian,OK,4208.0,23.0,132922.0
Candler,GA,550.0,25.0,10894.0
Cannon,TN,442.0,2.0,13839.0
Canyon,ID,10417.0,111.0,207027.0
Cape Girardeau,MO,2871.0,55.0,78013.0
Cape May,NJ,1151.0,100.0,94549.0
Carbon,MT,275.0,1.0,10466.0
Carbon,PA,616.0,31.0,63987.0
Carbon,UT,0.0,0.0,20512.0
Carbon,WY,336.0,2.0,15689.0
Caribou,ID,306.0,4.0,6862.0
Carlisle,KY,111.0,1.0,4890.0
Carlton,MN,580.0,2.0,35408.0
Caroline,MD,765.0,8.0,32785.0
Caroline,VA,450.0,6.0,29889.0
Carroll,AR,1049.0,19.0,27782.0
Carroll,GA,3428.0,77.0,114898.0
Carroll,IA,1264.0,13.0,20428.0
Carroll,IL,506.0,14.0,14704.0
Carroll,IN,386.0,13.0,19994.0
Carroll,KY,233.0,5.0,10695.0
Carroll,MD,2301.0,130.0,167319.0
Carroll,MO,216.0,4.0,8909.0
Carroll,MS,531.0,12.0,10221.0
Carroll,NH,161.0,2.0,47524.0
Carroll,OH,265.0,7.0,27825.0
Carroll,TN,1192.0,27.0,28137.0
Carroll,VA,635.0,29.0,29767.0
Carson City,NV,795.0,9.0,54219.0
Carson,TX,55.0,1.0,6033.0
Carter,KY,396.0,4.0,27385.0
Carter,MO,191.0,3.0,6255.0
Carter,MT,77.0,2.0,1320.0
Carter,OK,924.0,10.0,48407.0
Carter,TN,1747.0,36.0,56500.0
Carteret,NC,1204.0,5.0,68699.0
Carver,MN,1967.0,8.0,98799.0
Cascade,MT,2199.0,15.0,81816.0
Casey,KY,326.0,16.0,15805.0
Cass,IA,498.0,4.0,13327.0
Cass,IL,476.0,11.0,12880.0
Cass,IN,2403.0,26.0,38248.0
