county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Alcorn,MS,0.799,0.182,14781.0,11817.0,2684.0,0.8109999999999999,0.175,15639.0,12689.0,2741.0,1130.0,12.0,37242.0,18345.0,18897.0,3.0,83.2,11.7,0.0,0.3,0.0,38919.0,20527.0,19.6,8.6
Alexander,IL,0.53,0.44799999999999995,2820.0,1496.0,1262.0,0.5429999999999999,0.44799999999999995,5631.0,3056.0,2522.0,154.0,2.0,6776.0,3258.0,3518.0,1.0,61.8,34.6,0.6,0.2,0.0,31014.0,18564.0,33.4,8.2
Alexander,NC,0.768,0.20800000000000002,18011.0,13826.0,3750.0,0.7859999999999999,0.204,20120.0,15806.0,4113.0,975.0,10.0,37159.0,18797.0,18362.0,4.6,87.0,5.9,0.2,1.2,0.1,44523.0,22655.0,14.7,6.7
Alfalfa,OK,0.856,0.096,2256.0,1931.0,216.0,0.8740000000000001,0.10300000000000001,2262.0,1978.0,232.0,132.0,0.0,5877.0,3502.0,2375.0,5.0,76.2,2.4,1.9,0.0,0.0,57432.0,28007.0,11.2,4.5
Alger,MI,0.573,0.368,4513.0,2585.0,1663.0,0.5870000000000001,0.4,5135.0,3014.0,2053.0,121.0,1.0,9254.0,5088.0,4166.0,1.4,84.2,7.2,3.3,0.1,0.0,42647.0,21771.0,13.0,6.9
Allamakee,IA,0.596,0.35200000000000004,6837.0,4072.0,2409.0,0.635,0.345,7459.0,4733.0,2575.0,431.0,9.0,13940.0,7098.0,6842.0,6.1,91.2,0.9,0.1,0.3,0.0,47895.0,27377.0,11.4,3.3
Allegan,MI,0.613,0.325,55153.0,33812.0,17932.0,0.616,0.364,67182.0,41381.0,24447.0,1503.0,7.0,114145.0,56997.0,57148.0,7.2,88.7,1.3,0.5,0.6,0.0,58487.0,27172.0,10.8,3.6
Allegany,MD,0.72,0.24,27804.0,20025.0,6665.0,0.6940000000000001,0.29100000000000004,29130.0,20213.0,8464.0,775.0,24.0,72591.0,37892.0,34699.0,1.7,87.3,8.0,0.2,0.8,0.0,42771.0,22355.0,16.8,9.0
Allegany,NY,0.684,0.261,17111.0,11712.0,4473.0,0.7340000000000001,0.242,17271.0,12670.0,4188.0,348.0,8.0,47400.0,24013.0,23387.0,1.5,94.5,1.4,0.3,1.2,0.0,45359.0,22377.0,16.5,7.3
Alleghany,NC,0.727,0.249,5214.0,3789.0,1300.0,0.745,0.245,6040.0,4501.0,1480.0,316.0,1.0,10935.0,5445.0,5490.0,9.4,87.3,2.4,0.1,0.2,0.0,38944.0,21153.0,21.0,5.7
