county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16
Brazos,TX,38662.0,23041.0,66036.0
Breathitt,KY,3991.0,1537.0,5735.0
Breckinridge,KY,6484.0,1960.0,8771.0
Bremer,IA,7199.0,5349.0,13350.0
Brevard,FL,181620.0,119525.0,314337.0
Brewster,TX,2073.0,1869.0,4226.0
Briscoe,TX,625.0,91.0,734.0
Bristol,RI,8910.0,14532.0,24725.0
Broadwater,MT,2329.0,566.0,3102.0
Bronx,NY,34424.0,318403.0,358857.0
Brooke,WV,6574.0,2549.0,9540.0
Brookings,SD,6748.0,4879.0,12680.0
Brooks,GA,3679.0,2504.0,6268.0
Brooks,TX,613.0,1937.0,2596.0
Broome,NY,38077.0,35212.0,77657.0
Broomfield,CO,14272.0,19530.0,37342.0
Broward,FL,258521.0,546956.0,822837.0
Brown,IL,1776.0,475.0,2336.0
Brown,IN,5015.0,2518.0,7908.0
Brown,KS,2861.0,850.0,3960.0
Brown,MN,8708.0,3763.0,13663.0
Brown,NE,1380.0,153.0,1579.0
Brown,OH,14257.0,4270.0,19139.0
Brown,SD,9613.0,5452.0,16113.0
Brown,TX,12010.0,1621.0,13949.0
Brown,WI,67192.0,53358.0,127497.0
Brule,SD,1565.0,571.0,2288.0
Brunswick,NC,42440.0,23117.0,67255.0
Brunswick,VA,3045.0,4473.0,7645.0
Bryan,GA,10513.0,4010.0,15063.0
Bryan,OK,10449.0,2793.0,13775.0
Buchanan,IA,5504.0,3966.0,10137.0
Buchanan,MO,21315.0,12010.0,35563.0
Buchanan,VA,7292.0,1721.0,9220.0
Buckingham,VA,3969.0,3128.0,7284.0
Bucks,PA,163873.0,165861.0,342572.0
Buena Vista,IA,4895.0,2851.0,8179.0
Buffalo,NE,14424.0,4690.0,20477.0
Buffalo,SD,171.0,296.0,490.0
Buffalo,WI,4049.0,2531.0,6921.0
Bullitt,KY,26210.0,8255.0,36054.0
Bulloch,GA,14476.0,8812.0,24151.0
Bullock,AL,1139.0,3530.0,4701.0
Buncombe,NC,55339.0,74937.0,134507.0
Bureau,IL,9264.0,6010.0,16303.0
Burke,GA,4491.0,4730.0,9350.0
Burke,NC,25741.0,10930.0,37638.0
Burke,ND,879.0,118.0,1031.0
Burleigh,ND,32499.0,10865.0,46874.0
Burleson,TX,5316.0,1491.0,6945.0
Burlington,NJ,79539.0,108361.0,194988.0
Burnet,TX,14595.0,3785.0,19046.0
Burnett,WI,5412.0,2948.0,8719.0
Burt,NE,2360.0,928.0,3523.0
Butler,AL,4891.0,3716.0,8685.0
Butler,IA,4918.0,2163.0,7457.0
Butler,KS,18781.0,6489.0,27051.0
Butler,KY,4428.0,947.0,5576.0
Butler,MO,13647.0,3036.0,17232.0
Butler,NE,3068.0,690.0,3914.0
Butler,OH,104441.0,56700.0,168422.0
Butler,PA,61388.0,26834.0,92027.0
Butte,CA,35354.0,31638.0,72299.0
Butte,ID,914.0,160.0,1230.0
Butte,SD,3355.0,693.0,4346.0
Butts,GA,6717.0,2566.0,9477.0
Cabarrus,NC,53224.0,35048.0,91002.0
Cabell,WV,19648.0,11306.0,32701.0
Cache,UT,12385.0,5435.0,26492.0
Caddo,OK,6473.0,2418.0,9336.0
Caddo,LA,48977.0,53448.0,105737.0
Calaveras,CA,11064.0,6740.0,19029.0
Calcasieu,LA,54182.0,26293.0,83773.0
Caldwell,KY,4507.0,1260.0,5975.0
Caldwell,MO,3231.0,837.0,4309.0
Caldwell,NC,26499.0,8403.0,35747.0
Caldwell,TX,6516.0,4663.0,11709.0
Caldwell,LA,3822.0,788.0,4692.0
Calhoun,AL,32803.0,13197.0,47376.0
Calhoun,AR,1554.0,636.0,2264.0
