county,state,Poverty,Income,IncomePerCap,Unemployment
Lawrence,MO,17.1,41673.0,21022.0,6.2
Lawrence,MS,19.8,40432.0,21826.0,9.3
Lawrence,OH,18.6,45466.0,22844.0,6.5
Lawrence,PA,14.0,47188.0,26918.0,6.5
Lawrence,SD,12.4,49275.0,28606.0,3.1
Lawrence,TN,18.3,41522.0,19879.0,8.8
Le Flore,OK,22.2,39253.0,20264.0,6.9
Le Sueur,MN,8.8,65500.0,31135.0,3.9
Lea,NM,16.1,59285.0,24507.0,6.2
Leake,MS,25.1,35578.0,18825.0,9.2
Leavenworth,KS,9.0,70022.0,30170.0,4.2
Lebanon,PA,10.5,57698.0,27916.0,5.8
Lee,AL,22.0,47564.0,26170.0,5.7
Lee,AR,27.3,27901.0,15610.0,15.3
Lee,FL,14.9,52052.0,30233.0,7.1
Lee,GA,11.6,65018.0,28061.0,7.1
Lee,IA,16.3,48266.0,24408.0,7.6
Lee,IL,11.8,58319.0,28179.0,5.9
Lee,KY,32.7,23297.0,16489.0,10.3
Lee,MS,17.3,45985.0,23968.0,6.3
Lee,NC,17.5,49272.0,23613.0,7.4
Lee,SC,26.4,31963.0,16972.0,9.0
Lee,TX,13.8,55741.0,26740.0,4.5
Lee,VA,26.2,32590.0,18514.0,11.4
Leelanau,MI,7.7,62646.0,37061.0,6.3
Leflore,MS,40.3,25210.0,15403.0,12.0
Lehigh,PA,13.3,60116.0,30988.0,7.0
Lemhi,ID,17.1,36031.0,22489.0,4.4
Lenawee,MI,13.7,51339.0,25649.0,5.9
Lenoir,NC,22.3,37515.0,21594.0,11.6
Leon,FL,20.5,49941.0,28548.0,8.8
Leon,TX,16.3,44875.0,27096.0,7.1
Leslie,KY,34.5,27861.0,15112.0,14.6
Letcher,KY,30.5,30293.0,18085.0,12.2
Levy,FL,21.9,36554.0,21043.0,8.5
Lewis,ID,15.3,40313.0,23285.0,5.9
Lewis,KY,26.1,32054.0,19346.0,7.0
Lewis,MO,15.2,47148.0,22083.0,2.9
Lewis,NY,14.2,51475.0,25779.0,7.6
Lewis,TN,22.1,37092.0,20099.0,4.0
Lewis,WA,16.0,46387.0,23853.0,8.8
Lewis,WV,19.8,39793.0,21513.0,7.5
Lewis and Clark,MT,11.4,60789.0,31252.0,3.2
Lexington,SC,12.8,57482.0,29311.0,6.0
Liberty,FL,17.8,36741.0,16937.0,9.6
Liberty,GA,16.6,43493.0,20966.0,11.9
Liberty,MT,13.9,46641.0,36525.0,1.9
Liberty,TX,16.2,48344.0,22153.0,7.8
Licking,OH,11.8,59747.0,29093.0,5.9
Limestone,AL,14.8,52831.0,26685.0,7.1
Limestone,TX,20.7,40356.0,21093.0,10.3
Lincoln,AR,17.9,38873.0,13142.0,8.1
Lincoln,CO,14.0,44725.0,14765.0,3.7
Lincoln,GA,23.0,37711.0,24529.0,6.0
Lincoln,ID,11.5,46383.0,19095.0,3.1
Lincoln,KS,8.4,48693.0,25667.0,6.0
Lincoln,KY,23.8,37930.0,19351.0,8.7
Lincoln,ME,11.8,54041.0,31522.0,3.4
Lincoln,MN,11.4,51102.0,28382.0,3.0
Lincoln,MO,13.2,58603.0,24023.0,6.3
Lincoln,MS,23.6,37308.0,20627.0,7.5
Lincoln,MT,16.4,36934.0,22483.0,9.9
Lincoln,NC,15.2,50782.0,27359.0,7.9
Lincoln,NE,12.6,55875.0,29687.0,2.7
Lincoln,NM,15.4,42145.0,26820.0,5.2
Lincoln,NV,12.1,52971.0,27218.0,9.3
Lincoln,OK,14.3,47539.0,23911.0,5.9
Lincoln,OR,18.4,43291.0,25782.0,6.5
Lincoln,SD,3.0,81849.0,39404.0,2.1
Lincoln,TN,16.9,42153.0,24029.0,5.9
Lincoln,WA,13.7,49460.0,26918.0,4.2
Lincoln,WI,9.2,54203.0,28603.0,4.0
Lincoln,WV,24.9,37075.0,19321.0,7.3
Lincoln,WY,9.3,63756.0,29516.0,6.0
Lincoln,LA,31.2,34424.0,21934.0,8.8
Linn,IA,9.5,62702.0,32786.0,3.8
Linn,KS,17.4,46576.0,25796.0,5.8
Linn,MO,16.5,41652.0,22361.0,3.2
Linn,OR,16.1,49515.0,24448.0,8.8
Lipscomb,TX,10.5,59583.0,29995.0,5.2
Litchfield,CT,6.8,76438.0,40619.0,6.0
Little River,AR,18.8,36963.0,23412.0,10.3
Live Oak,TX,16.3,51480.0,22847.0,3.8
Livingston,IL,13.3,54339.0,27318.0,5.5
Livingston,KY,16.2,43472.0,24464.0,5.9
Livingston,MI,5.9,78430.0,36845.0,4.6
Livingston,MO,17.9,45929.0,22248.0,3.4
Livingston,NY,14.6,53654.0,25882.0,4.8
Livingston,LA,13.2,60456.0,27280.0,5.8
Llano,TX,12.5,50524.0,35680.0,8.3
Logan,AR,20.2,37982.0,19708.0,8.1
Logan,CO,16.8,44876.0,24595.0,6.2
Logan,IL,9.2,58271.0,26479.0,5.6
Logan,KS,8.9,49926.0,28549.0,3.0
Logan,KY,17.4,40982.0,21465.0,6.2
Logan,ND,7.5,57379.0,31952.0,1.7
Logan,NE,9.7,50278.0,24624.0,1.1
Logan,OH,13.7,53051.0,26525.0,5.8
Logan,OK,13.2,59133.0,28265.0,4.8
Logan,WV,22.5,37859.0,21074.0,12.8
Long,GA,20.0,53083.0,20321.0,17.2
Lonoke,AR,12.3,57290.0,25184.0,4.8
Lorain,OH,13.7,54987.0,28555.0,7.0
Los Alamos,NM,5.1,110190.0,52125.0,3.7
Los Angeles,CA,17.0,61015.0,30798.0,7.8
Loudon,TN,13.7,55431.0,30177.0,6.6
