county,state,Poverty,Income,IncomePerCap,Unemployment
Castro,TX,15.9,44643.0,22292.0,4.2
Caswell,NC,21.3,39428.0,21692.0,8.4
Catahoula,LA,21.8,34470.0,20717.0,5.6
Catawba,NC,14.2,48649.0,25960.0,7.4
Catoosa,GA,10.8,54537.0,25643.0,5.4
Catron,NM,21.5,42047.0,22487.0,0.0
Cattaraugus,NY,16.9,45571.0,23984.0,7.0
Cavalier,ND,8.6,65505.0,43144.0,1.3
Cayuga,NY,11.6,54664.0,27957.0,5.9
Cecil,MD,9.4,70516.0,32542.0,5.8
Cedar,IA,5.4,62555.0,30362.0,3.0
Cedar,MO,22.6,35930.0,20228.0,11.2
Cedar,NE,9.7,57208.0,29694.0,1.6
Centre,PA,18.4,56466.0,28545.0,4.6
Cerro Gordo,IA,11.3,50569.0,31292.0,4.1
Chaffee,CO,9.6,53762.0,28907.0,2.5
Chambers,AL,18.8,37342.0,22002.0,6.4
Chambers,TX,12.9,74368.0,31412.0,6.5
Champaign,IL,21.4,49586.0,28463.0,5.2
Champaign,OH,11.1,54495.0,25528.0,7.3
Chariton,MO,14.2,43186.0,23463.0,3.7
Charles City,VA,13.2,55069.0,32689.0,6.2
Charles,MD,6.9,93973.0,38890.0,4.5
Charles Mix,SD,21.4,44104.0,21805.0,5.2
Charleston,SC,15.3,57882.0,35587.0,5.3
Charlevoix,MI,11.6,51567.0,31730.0,6.2
Charlotte,FL,12.0,46511.0,29243.0,8.9
Charlotte,VA,22.7,38350.0,19830.0,6.8
Charlton,GA,23.1,43257.0,19102.0,10.4
Chase,KS,12.6,42772.0,24469.0,4.8
Chase,NE,8.0,54568.0,33708.0,2.3
Chatham,GA,17.3,52215.0,28765.0,8.7
Chatham,NC,13.3,59684.0,36933.0,5.6
Chattahoochee,GA,15.0,46096.0,22774.0,15.2
Chattooga,GA,22.5,35718.0,17716.0,9.5
Chautauqua,KS,14.3,39531.0,23621.0,6.2
Chautauqua,NY,18.5,44304.0,23962.0,7.7
Chaves,NM,21.2,42177.0,21177.0,6.3
Cheatham,TN,12.7,56150.0,25673.0,5.5
Cheboygan,MI,16.8,42876.0,24956.0,10.7
Chelan,WA,12.8,54975.0,27605.0,5.8
Chemung,NY,15.8,51251.0,27209.0,5.3
Chenango,NY,14.5,48567.0,25233.0,6.7
Cherokee,AL,16.1,40041.0,23010.0,5.3
Cherokee,GA,9.4,75477.0,33466.0,4.9
Cherokee,IA,11.9,53998.0,30973.0,3.3
Cherokee,KS,13.7,41101.0,21006.0,5.4
Cherokee,NC,16.8,38115.0,21152.0,7.7
Cherokee,OK,21.1,39187.0,19799.0,7.9
Cherokee,SC,22.0,35286.0,20516.0,7.8
Cherokee,TX,18.7,44294.0,21102.0,6.1
Cherry,NE,9.0,53226.0,27891.0,2.6
Chester,PA,6.9,92417.0,46256.0,4.8
Chester,SC,21.8,37421.0,20518.0,9.8
Chester,TN,18.2,43740.0,20497.0,10.3
Chesterfield,SC,23.8,38469.0,19768.0,9.0
Chesterfield,VA,7.2,76969.0,35370.0,5.6
Cheyenne,CO,11.8,54907.0,23698.0,8.1
Cheyenne,KS,11.2,47167.0,27934.0,1.7
Cheyenne,NE,10.9,58770.0,32995.0,2.5
Chickasaw,IA,8.9,50688.0,27973.0,2.5
Chickasaw,MS,22.9,33579.0,19609.0,7.6
Chicot,AR,29.4,32412.0,20560.0,10.1
Childress,TX,19.6,40432.0,18694.0,5.2
Chilton,AL,19.4,43501.0,23368.0,6.7
Chippewa,MI,17.1,44030.0,21958.0,9.0
Chippewa,MN,11.1,57601.0,29354.0,2.0
Chippewa,WI,10.7,55240.0,27020.0,3.7
Chisago,MN,5.4,76747.0,32105.0,4.2
Chittenden,VT,11.3,66906.0,36384.0,4.1
Choctaw,AL,22.3,32122.0,20994.0,9.8
Choctaw,MS,24.5,34542.0,19816.0,10.4
Choctaw,OK,31.0,30298.0,19446.0,8.6
Chouteau,MT,20.3,39577.0,22014.0,3.5
Chowan,NC,22.8,41979.0,23542.0,11.9
Christian,IL,12.8,50668.0,25614.0,4.6
Christian,KY,19.7,41849.0,21393.0,8.0
Christian,MO,10.4,55761.0,26628.0,5.3
Churchill,NV,13.8,46914.0,25211.0,7.8
Cibola,NM,28.5,36089.0,17768.0,16.0
Cimarron,OK,15.9,44667.0,28461.0,2.3
Citrus,FL,17.4,40574.0,25034.0,9.9
Clackamas,OR,9.0,72408.0,37551.0,5.6
Claiborne,MS,45.9,24601.0,13095.0,17.7
Claiborne,TN,22.4,35428.0,20184.0,8.5
Claiborne,LA,29.9,26877.0,16384.0,9.4
Clallam,WA,17.1,48002.0,28857.0,8.8
Clare,MI,23.6,35913.0,21198.0,11.5
Clarendon,SC,23.3,35838.0,20616.0,12.0
Clarion,PA,17.5,44373.0,23595.0,6.6
Clark,AR,21.5,37144.0,20382.0,4.5
Clark,ID,24.2,31927.0,15283.0,5.0
Clark,IL,14.3,52068.0,28495.0,6.5
Clark,IN,9.7,52834.0,26875.0,5.7
Clark,KS,8.9,46094.0,27087.0,1.5
Clark,KY,15.0,51547.0,26219.0,6.7
Clark,MO,15.3,45216.0,26253.0,4.6
Clark,NV,14.6,54882.0,27719.0,8.3
Clark,OH,16.6,46275.0,25270.0,7.7
Clark,SD,13.3,47500.0,26759.0,4.0
Clark,WA,10.3,67832.0,32162.0,6.2
Clark,WI,13.2,49131.0,23437.0,3.3
Clarke,AL,25.3,33827.0,20765.0,15.2
Clarke,GA,34.1,34557.0,21203.0,7.6
Clarke,IA,15.4,49718.0,25879.0,4.4
Clarke,MS,18.5,37626.0,20564.0,9.1
Clarke,VA,10.4,72129.0,38658.0,3.3
Clatsop,OR,12.2,49828.0,28115.0,6.5
Clay,AL,19.1,37287.0,21330.0,6.4
Clay,AR,22.3,32219.0,19171.0,5.3
Clay,FL,10.4,61971.0,28599.0,8.1
Clay,GA,41.4,23315.0,14559.0,20.3
Clay,IA,11.8,48978.0,28514.0,3.4
Clay,IL,14.0,47427.0,25700.0,5.0
Clay,IN,13.9,50924.0,24339.0,4.9
Clay,KS,9.4,55434.0,28115.0,3.3
Clay,KY,39.5,24596.0,15388.0,9.1
Clay,MN,12.5,61409.0,28122.0,2.8
Clay,MO,8.9,65675.0,31953.0,4.4
Clay,MS,26.6,34118.0,19220.0,11.3
Clay,NC,17.5,37070.0,25433.0,7.1
Clay,NE,11.1,54167.0,27275.0,3.0
Clay,SD,24.7,41773.0,24541.0,6.4
Clay,TN,26.6,30801.0,17667.0,5.3
Clay,TX,15.0,46863.0,27593.0,7.2
Clay,WV,25.2,34242.0,16229.0,10.8
Clayton,GA,21.9,44106.0,19498.0,10.3
Clayton,IA,10.4,51114.0,27719.0,3.0
Clear Creek,CO,6.8,68534.0,41257.0,3.2
Clearfield,PA,15.3,45188.0,22568.0,8.2
Clearwater,ID,13.9,41122.0,22169.0,6.2
Clearwater,MN,17.9,45638.0,24515.0,7.3
Cleburne,AL,19.1,37396.0,20873.0,7.8
Cleburne,AR,15.4,42312.0,26189.0,5.5
Clermont,OH,9.8,64183.0,31812.0,4.4
Cleveland,AR,19.3,44840.0,23171.0,6.6
Cleveland,NC,19.9,40002.0,21664.0,10.3
Cleveland,OK,12.6,60632.0,29231.0,4.8
Clinch,GA,39.5,21838.0,17145.0,9.1
Clinton,IA,13.1,50295.0,28091.0,4.2
Clinton,IL,9.0,64543.0,30382.0,3.9
Clinton,IN,13.3,51659.0,23722.0,5.2
Clinton,KY,20.0,31130.0,19325.0,7.4
Clinton,MI,10.1,64903.0,32792.0,4.3
Clinton,MO,11.0,57591.0,27655.0,3.8
Clinton,NY,15.7,52759.0,25833.0,5.8
Clinton,OH,14.7,49997.0,25238.0,6.6
Clinton,PA,17.2,47990.0,22794.0,5.9
Cloud,KS,11.9,44199.0,25579.0,5.0
Coahoma,MS,36.2,28728.0,16699.0,19.0
Coal,OK,20.3,39931.0,24004.0,7.9
Cobb,GA,10.9,72004.0,36587.0,6.0
Cochise,AZ,18.1,47847.0,24896.0,7.6
Cochran,TX,24.8,37500.0,19195.0,8.0
Cocke,TN,25.0,32027.0,20189.0,9.6
Coconino,AZ,21.0,53523.0,25722.0,8.3
Codington,SD,11.7,52025.0,29249.0,2.5
Coffee,AL,16.1,49821.0,26216.0,6.0
Coffee,GA,23.9,36572.0,18945.0,5.7
Coffee,TN,15.2,46614.0,24748.0,5.8
Coffey,KS,11.3,58662.0,31679.0,3.7
Coke,TX,16.6,42500.0,24623.0,4.3
Colbert,AL,16.8,45477.0,23675.0,6.9
Cole,MO,12.6,54216.0,27559.0,4.4
Coleman,TX,20.3,40804.0,26436.0,5.1
Coles,IL,21.0,41907.0,26060.0,7.3
Colfax,NE,8.2,54876.0,23393.0,3.5
Colfax,NM,23.5,33042.0,21785.0,10.0
Colleton,SC,22.3,34996.0,21059.0,9.5
Collier,FL,12.8,62407.0,41239.0,5.3
Collin,TX,6.9,90124.0,41609.0,4.3
Collingsworth,TX,15.0,46348.0,21356.0,7.1
Colorado,TX,12.0,50241.0,26689.0,2.9
Colquitt,GA,25.4,34503.0,18121.0,7.2
Columbia,AR,25.1,37072.0,20296.0,9.5
Columbia,FL,16.8,43504.0,22855.0,9.5
Columbia,GA,8.6,74162.0,31720.0,5.8
Columbia,NY,11.4,61093.0,34737.0,5.0
Columbia,OR,12.3,57449.0,28460.0,7.5
Columbia,PA,15.9,48395.0,24908.0,5.1
Columbia,WA,14.5,46250.0,28950.0,7.9
Columbia,WI,8.3,63293.0,31290.0,3.8
Columbiana,OH,15.4,45498.0,24758.0,7.5
Columbus,NC,23.6,36261.0,21849.0,7.0
Colusa,CA,14.0,56481.0,25676.0,5.9
Comal,TX,9.2,73655.0,35841.0,3.8
Comanche,KS,8.1,51563.0,28388.0,1.8
Comanche,OK,16.7,49569.0,25186.0,8.8
Comanche,TX,18.2,42419.0,22751.0,3.6
Concho,TX,8.5,46696.0,17513.0,0.4
Concordia,LA,31.2,30028.0,17551.0,9.2
Conecuh,AL,26.4,30434.0,16337.0,14.5
Conejos,CO,21.1,35657.0,19047.0,9.4
Contra Costa,CA,9.8,88456.0,42898.0,6.9
Converse,WY,8.0,62776.0,31948.0,5.8
Conway,AR,18.5,39638.0,22365.0,7.1
Cook,GA,24.2,35539.0,17587.0,5.8
Cook,IL,15.9,59426.0,33722.0,8.7
Cook,MN,13.0,51903.0,31831.0,2.6
Cooke,TX,13.9,60027.0,29067.0,5.2
Cooper,MO,11.2,46547.0,22371.0,5.0
Coos,OR,17.9,40848.0,26007.0,9.2
Coosa,AL,14.4,34792.0,20342.0,11.3
Copiah,MS,24.3,38046.0,18756.0,12.3
Corson,SD,47.9,32260.0,15160.0,28.7
Cortland,NY,14.7,52451.0,26271.0,4.9
Coryell,TX,13.3,50865.0,21171.0,9.9
Coshocton,OH,15.0,43251.0,21520.0,6.7
Costilla,CO,29.6,29000.0,20737.0,9.1
Cottle,TX,24.5,33534.0,20566.0,10.7
Cotton,OK,15.4,49962.0,21887.0,8.7
Cottonwood,MN,15.6,50524.0,27206.0,5.1
Covington,AL,17.6,39467.0,22431.0,10.7
Covington,MS,23.1,36471.0,18749.0,8.8
Coweta,GA,11.6,67570.0,31548.0,5.4
Cowley,KS,16.0,46624.0,23130.0,5.2
Cowlitz,WA,16.9,49804.0,25878.0,8.4
Craig,OK,17.9,40465.0,20666.0,5.5
Craig,VA,9.3,53526.0,26753.0,4.1
Craighead,AR,18.3,45672.0,25594.0,6.0
Crane,TX,11.8,63935.0,24582.0,2.6
Craven,NC,15.4,49391.0,26830.0,8.1
Crawford,AR,16.6,43504.0,22104.0,6.2
Crawford,GA,18.1,41032.0,22212.0,12.6
Crawford,IA,18.5,51091.0,27270.0,6.2
Crawford,IL,11.9,47468.0,25955.0,6.2
Crawford,IN,17.8,40067.0,19424.0,4.3
Crawford,KS,21.1,38017.0,21207.0,5.4
Crawford,MI,16.4,42666.0,22891.0,10.4
Crawford,MO,20.0,37171.0,20799.0,11.6
Crawford,OH,16.2,41726.0,24386.0,6.4
Crawford,PA,14.5,47179.0,24716.0,6.0
Crawford,WI,13.0,47331.0,24391.0,4.1
Creek,OK,15.2,47147.0,24056.0,4.2
Crenshaw,AL,17.6,38937.0,21580.0,6.4
Crisp,GA,31.2,33194.0,21225.0,14.8
Crittenden,AR,23.5,38558.0,20721.0,8.4
Crittenden,KY,17.7,41114.0,22765.0,4.4
Crockett,TN,17.7,39692.0,21056.0,5.9
Crockett,TX,20.9,52310.0,23296.0,2.4
Crook,OR,15.3,41777.0,24239.0,8.3
Crook,WY,5.1,66944.0,34186.0,3.6
Crosby,TX,20.8,38674.0,20057.0,7.7
Cross,AR,18.0,41081.0,22894.0,6.8
Crow Wing,MN,9.6,53121.0,30013.0,3.5
Crowley,CO,24.6,35292.0,14393.0,21.4
Culberson,TX,29.4,33125.0,16763.0,5.3
Cullman,AL,16.4,40997.0,21857.0,5.8
Culpeper,VA,8.9,69693.0,29979.0,5.9
Cumberland,IL,14.3,50680.0,24956.0,5.0
Cumberland,KY,20.7,35449.0,18669.0,5.1
Cumberland,ME,10.7,65702.0,36780.0,4.0
Cumberland,NC,18.2,44737.0,23627.0,10.0
Cumberland,NJ,18.8,50000.0,23012.0,9.0
Cumberland,PA,7.8,65544.0,34246.0,4.2
Cumberland,TN,16.0,40994.0,23668.0,7.6
Cumberland,VA,21.8,43020.0,23488.0,7.0
Cuming,NE,8.0,50734.0,28762.0,2.6
Currituck,NC,9.1,65758.0,29340.0,4.8
Curry,NM,22.5,41941.0,22628.0,7.8
Curry,OR,15.5,42519.0,26925.0,9.9
Custer,CO,15.7,41330.0,26032.0,8.7
Custer,ID,18.9,37976.0,23290.0,4.7
Custer,MT,9.8,53050.0,28501.0,1.7
Custer,NE,11.9,48836.0,32605.0,2.5
Custer,OK,15.8,48520.0,24621.0,3.6
Custer,SD,13.2,56449.0,31015.0,4.0
Cuyahoga,OH,18.3,46720.0,30441.0,8.9
Dade,GA,17.5,43163.0,23184.0,4.8
Dade,MO,22.9,38880.0,20468.0,9.3
Daggett,UT,4.0,85000.0,28533.0,1.0
Dakota,MN,6.9,79995.0,38863.0,4.0
Dakota,NE,16.8,52401.0,22463.0,7.3
Dale,AL,19.6,44711.0,23194.0,10.4
Dallam,TX,15.9,45580.0,25221.0,3.7
Dallas,AL,31.9,30065.0,18248.0,13.7
Dallas,AR,13.2,35794.0,18309.0,6.4
Dallas,IA,5.4,82719.0,42417.0,2.4
Dallas,MO,15.7,41441.0,19647.0,7.8
Dallas,TX,17.7,53626.0,29810.0,5.9
Dane,WI,12.4,67631.0,37193.0,3.8
Daniels,MT,4.6,53591.0,36108.0,1.7
Dare,NC,8.9,55640.0,30898.0,5.2
Darke,OH,11.6,50064.0,24768.0,5.1
Darlington,SC,22.7,36217.0,21225.0,13.1
Dauphin,PA,13.2,57071.0,31152.0,5.7
Davidson,NC,15.8,45806.0,24231.0,8.2
Davidson,TN,16.9,53419.0,32347.0,5.3
Davie,NC,14.0,53493.0,29234.0,6.5
Daviess,IN,13.0,48355.0,21794.0,5.4
Daviess,KY,15.8,48371.0,26501.0,6.0
Daviess,MO,13.2,45707.0,22642.0,3.5
Davis,IA,13.7,52390.0,25747.0,3.5
Davis,UT,6.2,75961.0,28293.0,3.3
Davison,SD,12.6,48665.0,28086.0,3.9
Dawes,NE,14.3,46146.0,24811.0,1.0
Dawson,GA,11.8,62284.0,31954.0,6.1
Dawson,MT,12.3,59622.0,29130.0,1.1
Dawson,NE,13.7,51238.0,24912.0,4.2
Dawson,TX,18.5,43201.0,21360.0,6.7
Day,SD,16.5,43902.0,30841.0,1.5
De Baca,NM,22.7,31439.0,24571.0,6.6
De Soto,LA,26.3,41443.0,23471.0,10.6
De Witt,IL,13.3,55411.0,27866.0,6.6
DeKalb,AL,21.5,38842.0,20020.0,5.1
DeKalb,GA,17.6,55876.0,32110.0,8.5
DeKalb,IL,18.1,58343.0,26511.0,8.6
DeKalb,IN,12.5,51374.0,26057.0,4.6
DeKalb,MO,12.5,46517.0,18994.0,3.4
DeKalb,TN,18.9,40690.0,25443.0,5.6
DeSoto,FL,29.9,35435.0,17892.0,6.1
DeSoto,MS,9.8,62595.0,28316.0,6.1
DeWitt,TX,16.0,50960.0,28116.0,6.5
Deaf Smith,TX,18.0,51543.0,21209.0,5.0
Dearborn,IN,10.1,62905.0,30228.0,5.8
Decatur,GA,24.1,36934.0,19650.0,6.5
Decatur,IA,19.1,41042.0,21110.0,5.0
Decatur,IN,11.4,52270.0,25548.0,4.8
Decatur,KS,17.5,41230.0,30890.0,2.8
Decatur,TN,22.6,36427.0,21098.0,9.7
Deer Lodge,MT,18.8,41235.0,25107.0,2.3
Defiance,OH,11.0,55295.0,26941.0,5.0
Del Norte,CA,23.2,41287.0,20809.0,9.5
Delaware,IA,9.2,60534.0,30768.0,2.5
Delaware,IN,21.2,41208.0,23271.0,7.9
Delaware,NY,16.5,47921.0,26016.0,7.1
Delaware,OH,5.1,100229.0,45116.0,2.6
Delaware,OK,19.0,38234.0,22175.0,8.3
Delaware,PA,10.4,69839.0,36747.0,6.8
Delta,CO,16.5,42487.0,25546.0,8.5
Delta,MI,14.4,44639.0,25582.0,6.5
Delta,TX,22.9,42642.0,22732.0,6.4
Dent,MO,20.8,38829.0,20908.0,7.3
Denton,TX,8.4,80290.0,37928.0,4.5
Denver,CO,15.1,60098.0,38991.0,4.5
Des Moines,IA,15.3,47524.0,27168.0,5.6
Deschutes,OR,12.1,59152.0,31575.0,5.5
Desha,AR,32.6,27036.0,18187.0,12.2
Deuel,NE,11.1,53438.0,28225.0,4.1
Deuel,SD,10.0,57969.0,29204.0,1.8
Dewey,OK,18.6,52930.0,25821.0,2.3
Dewey,SD,31.4,41190.0,17267.0,25.9
Dickens,TX,16.6,43088.0,24171.0,15.0
Dickenson,VA,23.0,29916.0,21082.0,5.6
Dickey,ND,6.3,58357.0,30510.0,2.6
Dickinson,IA,8.1,59889.0,36588.0,3.0
Dickinson,KS,11.6,49663.0,24434.0,5.4
Dickinson,MI,15.2,45681.0,25998.0,6.0
Dickson,TN,14.5,47398.0,25211.0,4.7
Dillon,SC,30.6,30866.0,15638.0,9.1
Dimmit,TX,30.2,31384.0,17939.0,15.0
Dinwiddie,VA,14.8,54640.0,25981.0,8.3
District of Columbia,DC,17.4,77649.0,50832.0,8.0
Divide,ND,13.0,54223.0,39171.0,2.4
Dixie,FL,23.7,35910.0,19342.0,6.2
Dixon,NE,10.3,57036.0,26094.0,3.3
Doddridge,WV,14.9,44437.0,21164.0,6.5
Dodge,GA,22.2,35290.0,18563.0,9.0
Dodge,MN,5.7,71078.0,31417.0,2.9
Dodge,NE,13.2,51748.0,27162.0,4.4
Dodge,WI,8.8,56038.0,27000.0,4.8
Dolores,CO,14.1,40352.0,23190.0,0.4
Doniphan,KS,13.7,50300.0,24520.0,4.5
Donley,TX,14.9,44429.0,23212.0,4.6
Dooly,GA,23.2,33389.0,16867.0,10.5
Door,WI,8.4,56494.0,34253.0,4.6
Dorchester,MD,15.4,50532.0,28911.0,8.3
Dorchester,SC,11.8,58685.0,27317.0,6.2
Dougherty,GA,30.5,34541.0,20292.0,15.8
Douglas,CO,3.6,111154.0,48725.0,3.3
Douglas,GA,14.2,59333.0,25449.0,7.9
Douglas,IL,12.1,52261.0,26284.0,5.4
Douglas,KS,18.7,54370.0,29438.0,4.7
Douglas,MN,8.4,58667.0,33336.0,3.1
Douglas,MO,20.6,33003.0,18095.0,7.0
Douglas,NE,13.5,58640.0,32023.0,4.4
Douglas,NV,9.8,61176.0,35727.0,6.2
Douglas,OR,17.0,44023.0,25002.0,8.9
Douglas,SD,8.2,52543.0,27603.0,0.9
Douglas,WA,13.7,55805.0,25060.0,3.9
Douglas,WI,14.2,50730.0,27844.0,5.6
Drew,AR,24.4,36092.0,20300.0,9.0
DuPage,IL,6.8,84442.0,42050.0,5.2
Dubois,IN,10.0,57307.0,28302.0,2.9
Dubuque,IA,11.9,59150.0,30117.0,3.9
Duchesne,UT,12.7,63000.0,23323.0,6.2
Dundy,NE,10.5,44653.0,26949.0,3.6
Dunklin,MO,26.6,32348.0,18878.0,6.9
Dunn,ND,10.6,68594.0,42438.0,3.5
Dunn,WI,12.8,54605.0,26354.0,4.7
Duplin,NC,26.3,36679.0,18529.0,9.3
Durham,NC,16.4,56393.0,33151.0,5.8
Dutchess,NY,9.1,75585.0,36704.0,6.7
Duval,FL,16.0,51296.0,28593.0,7.4
Duval,TX,25.2,35443.0,19085.0,13.6
Dyer,TN,18.1,44386.0,24695.0,7.3
Eagle,CO,7.7,83803.0,40450.0,2.7
Early,GA,27.5,29493.0,17972.0,8.7
East Baton Rouge,LA,19.1,51436.0,30162.0,6.9
East Carroll,LA,48.2,20795.0,14694.0,6.9
East Feliciana,LA,17.9,46964.0,21138.0,6.1
Eastland,TX,17.4,32135.0,20433.0,5.7
Eaton,MI,10.9,59244.0,30064.0,5.8
Eau Claire,WI,14.5,52178.0,27780.0,4.0
Echols,GA,28.2,34315.0,20589.0,5.5
Ector,TX,12.3,59528.0,27728.0,6.9
Eddy,ND,13.2,55294.0,35444.0,1.6
Eddy,NM,14.6,60703.0,28419.0,5.1
Edgar,IL,15.4,47873.0,26344.0,7.4
Edgecombe,NC,24.6,32929.0,18946.0,10.2
Edgefield,SC,15.5,47500.0,23804.0,7.3
Edmonson,KY,20.0,41114.0,21851.0,9.3
Edmunds,SD,5.9,65380.0,31836.0,1.6
Edwards,IL,11.5,49632.0,26549.0,6.1
Edwards,KS,10.2,50229.0,27966.0,2.9
Edwards,TX,7.0,48462.0,28968.0,5.1
Effingham,GA,9.6,64279.0,26765.0,5.0
Effingham,IL,11.3,54655.0,29300.0,4.4
El Dorado,CA,9.8,74885.0,38156.0,8.1
El Paso,CO,11.1,62535.0,31217.0,6.8
El Paso,TX,21.7,43244.0,19950.0,7.0
Elbert,CO,4.8,92849.0,42522.0,3.6
Elbert,GA,22.4,35207.0,21138.0,7.7
Elk,KS,13.5,39405.0,21156.0,6.9
Elk,PA,9.4,49876.0,27163.0,4.8
Elkhart,IN,13.8,52449.0,23817.0,5.6
Elko,NV,11.5,76178.0,32498.0,4.4
Elliott,KY,34.4,29043.0,13436.0,5.0
Ellis,KS,16.7,49562.0,29339.0,2.8
Ellis,OK,17.2,50594.0,27272.0,5.6
Ellis,TX,10.5,67371.0,28612.0,4.6
Ellsworth,KS,11.4,48550.0,24102.0,3.0
Elmore,AL,13.5,54981.0,26251.0,7.3
Elmore,ID,14.9,45154.0,23029.0,7.3
Emanuel,GA,29.2,33089.0,17944.0,10.3
Emery,UT,12.9,51852.0,21465.0,4.4
Emmet,IA,13.8,47419.0,29396.0,3.9
Emmet,MI,10.7,51475.0,31356.0,6.1
Emmons,ND,11.9,46581.0,29622.0,1.8
Erath,TX,22.6,47013.0,23511.0,4.3
Erie,NY,14.9,54006.0,31083.0,5.5
Erie,OH,13.0,51033.0,30223.0,6.5
Erie,PA,16.8,48192.0,26361.0,6.5
Escambia,AL,23.8,35026.0,18164.0,13.7
Escambia,FL,14.6,47361.0,25666.0,7.2
Esmeralda,NV,6.8,39405.0,23755.0,3.9
Essex,MA,10.9,73533.0,38604.0,6.0
Essex,NJ,16.7,57365.0,35133.0,10.4
Essex,NY,8.9,55294.0,29008.0,6.7
Essex,VA,12.3,50629.0,25730.0,5.6
Essex,VT,15.5,38767.0,23022.0,5.1
Estill,KY,30.4,30692.0,17728.0,12.4
Etowah,AL,17.9,42064.0,22278.0,7.6
Eureka,NV,10.0,67159.0,35606.0,0.0
Evangeline,LA,26.4,31745.0,18655.0,11.9
Evans,GA,26.0,38736.0,20736.0,6.6
Fairfax,VA,6.1,117515.0,52976.0,4.5
Fairfield,CT,8.8,89773.0,53433.0,7.6
Fairfield,OH,9.9,63424.0,29582.0,5.1
Fairfield,SC,21.3,35551.0,21972.0,9.3
Fall River,SD,15.0,48862.0,26584.0,2.6
Fallon,MT,5.8,56806.0,32371.0,1.7
Falls,TX,25.2,38834.0,17755.0,6.1
Fannin,GA,15.8,43344.0,24845.0,8.3
Fannin,TX,14.8,47875.0,23212.0,5.2
Faribault,MN,11.5,50847.0,29116.0,2.8
Faulk,SD,10.9,46750.0,29714.0,0.3
Faulkner,AR,16.3,50316.0,25240.0,5.1
Fauquier,VA,6.2,94775.0,43067.0,4.0
Fayette,AL,18.1,36541.0,21191.0,8.4
Fayette,GA,6.3,84861.0,39936.0,5.5
Fayette,IA,12.8,48412.0,27020.0,3.5
Fayette,IL,17.8,44541.0,21844.0,7.4
Fayette,IN,18.2,41476.0,22428.0,7.5
Fayette,KY,18.6,53013.0,31653.0,6.1
Fayette,OH,17.7,44289.0,24013.0,6.3
Fayette,PA,18.8,41632.0,24247.0,7.5
Fayette,TN,14.4,57919.0,30471.0,7.9
Fayette,TX,9.1,56941.0,30405.0,1.5
Fayette,WV,20.0,39297.0,20758.0,8.4
Fentress,TN,23.0,32616.0,18171.0,7.3
Fergus,MT,14.7,47110.0,27491.0,2.6
Ferry,WA,21.2,41081.0,21951.0,9.5
Fillmore,MN,11.3,57093.0,28441.0,2.8
Fillmore,NE,9.9,56750.0,30874.0,2.5
Finney,KS,16.2,51703.0,23074.0,4.7
Fisher,TX,17.4,45294.0,27750.0,5.6
Flagler,FL,13.3,51049.0,25741.0,6.5
Flathead,MT,13.6,51410.0,28379.0,4.0
Fleming,KY,19.5,41095.0,23351.0,9.5
Florence,SC,19.6,43310.0,23797.0,9.5
Florence,WI,8.4,47827.0,28211.0,6.4
Floyd,GA,18.1,46096.0,23929.0,7.5
Floyd,IA,15.6,48607.0,28323.0,2.7
Floyd,IN,10.8,59451.0,30663.0,5.1
Floyd,KY,30.7,31196.0,18366.0,11.6
Floyd,TX,18.2,48767.0,24347.0,6.4
Floyd,VA,12.0,48396.0,25446.0,5.5
Fluvanna,VA,6.1,67964.0,31952.0,4.8
Foard,TX,5.7,50000.0,26034.0,11.3
Fond du Lac,WI,8.5,57798.0,29431.0,4.0
Ford,IL,15.7,50851.0,26611.0,6.6
Ford,KS,16.2,49890.0,22053.0,6.3
Forest,PA,14.1,37106.0,14989.0,5.4
Forest,WI,17.5,43356.0,23936.0,8.3
Forrest,MS,26.3,39555.0,20783.0,11.9
Forsyth,GA,6.5,96445.0,39896.0,4.2
Forsyth,NC,18.7,48369.0,28640.0,6.9
Fort Bend,TX,8.1,93645.0,38382.0,5.3
Foster,ND,7.1,59500.0,32665.0,1.1
Fountain,IN,12.6,46669.0,25383.0,6.3
Franklin,AL,23.0,39501.0,19314.0,8.2
Franklin,AR,21.9,39472.0,19988.0,6.6
Franklin,FL,20.1,41267.0,23524.0,7.9
Franklin,GA,25.4,39246.0,19663.0,6.3
Franklin,IA,15.6,48172.0,25248.0,4.6
Franklin,ID,12.2,51583.0,20454.0,2.4
Franklin,IL,19.9,39454.0,22346.0,8.9
Franklin,IN,9.9,55588.0,26267.0,5.3
Franklin,KS,12.5,53167.0,25701.0,5.4
Franklin,KY,13.1,53539.0,28001.0,7.2
Franklin,MA,10.9,57307.0,33010.0,5.8
Franklin,ME,12.4,45541.0,24162.0,6.1
Franklin,MO,10.6,53849.0,27209.0,4.9
Franklin,MS,17.9,42388.0,24864.0,7.4
Franklin,NC,16.4,48344.0,23862.0,7.3
Franklin,NE,13.3,49453.0,28635.0,2.6
Franklin,NY,19.4,50733.0,24294.0,8.2
Franklin,OH,16.7,56319.0,31199.0,5.7
Franklin,PA,10.4,58267.0,28985.0,5.7
Franklin,TN,15.0,46882.0,25637.0,6.9
Franklin,TX,15.0,43967.0,23642.0,7.6
Franklin,VA,14.8,51208.0,27282.0,5.4
Franklin,VT,8.0,62214.0,30624.0,4.4
Franklin,WA,15.9,60275.0,22125.0,5.8
