county,state,TotalPop,Hispanic,White,Black,Native,Asian,Pacific
Bergen,NJ,937920.0,18.9,57.8,5.3,0.1,16.2,0.0
Berkeley,SC,204632.0,6.3,64.0,23.9,0.4,2.3,0.1
Berkeley,WV,111610.0,4.0,84.6,7.2,0.1,1.1,0.1
Berks,PA,415500.0,19.6,73.2,4.1,0.1,1.4,0.0
Bernalillo,NM,674855.0,49.5,39.5,2.5,4.0,2.3,0.1
Berrien,GA,19014.0,4.9,82.3,10.8,0.2,1.0,0.0
Berrien,MI,154948.0,5.2,75.1,14.6,0.3,1.9,0.0
Bertie,NC,19913.0,2.1,34.3,61.6,0.6,0.6,0.0
Bexar,TX,1892004.0,59.8,28.4,7.0,0.2,2.6,0.1
Bibb,AL,22580.0,2.4,74.6,22.0,0.4,0.0,0.0
Bibb,GA,153923.0,3.2,39.3,54.0,0.2,1.9,0.0
Bienville,LA,13806.0,1.7,54.3,41.5,0.1,0.0,0.0
Big Horn,MT,13290.0,5.6,27.7,0.1,65.0,0.1,0.0
Big Horn,WY,11920.0,8.8,88.2,0.6,0.9,0.4,0.1
Big Stone,MN,5039.0,1.4,98.0,0.3,0.0,0.0,0.0
Billings,ND,983.0,4.1,94.4,0.9,0.6,0.0,0.0
Bingham,ID,45369.0,17.9,74.0,0.3,4.9,0.9,0.0
Black Hawk,IA,132960.0,4.2,82.2,8.8,0.2,2.1,0.2
Blackford,IN,12214.0,1.5,96.0,0.2,0.2,0.5,0.0
Bladen,NC,34130.0,7.5,54.2,34.4,2.3,0.0,0.0
Blaine,ID,21583.0,21.0,76.5,0.3,0.0,1.0,0.0
Blaine,MT,6646.0,2.5,46.2,0.2,49.1,0.0,0.2
Blaine,NE,502.0,0.0,98.0,0.0,0.0,0.6,1.4
Blaine,OK,9680.0,9.8,74.0,3.9,6.9,0.1,0.0
Blair,PA,124736.0,1.2,94.8,1.5,0.0,0.7,0.0
Blanco,TX,11089.0,19.1,77.6,0.0,0.0,0.6,0.0
